Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,ASAS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D2,28/07/17,Bochum,St Pauli,0,1,A,0,0,D,17,16,5,7,12,10,8,2,1,1,0,0
D2,29/07/17,Bielefeld,Regensburg,2,1,H,1,1,D,19,14,5,3,13,12,7,4,3,3,1,0
D2,29/07/17,Darmstadt,Greuther Furth,1,0,H,0,0,D,10,10,5,1,13,21,2,5,1,4,0,0
D2,29/07/17,Ingolstadt,Union Berlin,0,1,A,0,0,D,13,13,4,3,13,17,3,3,0,3,0,0
D2,30/07/17,Dresden,Duisburg,1,0,H,0,0,D,18,15,8,3,10,17,7,3,1,4,0,1
D2,30/07/17,Holstein Kiel,Sandhausen,2,2,D,0,2,A,20,8,3,4,18,20,12,2,2,3,0,0
D2,30/07/17,Nurnberg,Kaiserslautern,3,0,H,2,0,H,12,14,3,3,11,14,5,3,0,3,0,0
D2,31/07/17,Fortuna Dusseldorf,Braunschweig,2,2,D,1,1,D,14,13,4,10,19,17,5,5,2,4,0,1
D2,04/08/17,Kaiserslautern,Darmstadt,1,1,D,1,0,H,7,10,2,5,18,11,3,3,3,1,0,0
D2,04/08/17,Sandhausen,Ingolstadt,1,0,H,0,0,D,9,11,3,4,17,15,3,4,2,2,0,0
D2,04/08/17,Union Berlin,Holstein Kiel,4,3,H,3,3,D,15,11,8,6,16,15,3,0,2,2,0,0
D2,05/08/17,Braunschweig,Heidenheim,2,0,H,1,0,H,8,12,2,3,11,19,2,6,0,2,0,0
D2,05/08/17,Duisburg,Bochum,1,1,D,1,0,H,12,17,5,3,12,13,2,7,2,2,0,0
D2,06/08/17,Erzgebirge Aue,Fortuna Dusseldorf,0,2,A,0,1,A,19,5,4,2,17,18,9,2,5,2,0,0
D2,06/08/17,Greuther Furth,Bielefeld,1,2,A,0,2,A,18,8,7,4,17,12,6,4,0,1,0,0
D2,06/08/17,Regensburg,Nurnberg,0,1,A,0,0,D,9,16,1,4,12,16,4,7,2,2,0,0
D2,07/08/17,St Pauli,Dresden,2,2,D,1,1,D,12,11,5,4,10,15,5,3,1,3,0,0
D2,09/08/17,Heidenheim,Erzgebirge Aue,2,1,H,1,1,D,9,14,2,5,20,17,1,4,2,3,0,1
D2,18/08/17,Braunschweig,Erzgebirge Aue,1,1,D,1,1,D,10,12,6,7,15,14,3,4,2,4,0,0
D2,18/08/17,Darmstadt,St Pauli,3,0,H,1,0,H,17,13,8,6,11,13,6,9,2,1,0,0
D2,19/08/17,Dresden,Sandhausen,0,4,A,0,1,A,10,12,1,6,15,24,4,3,3,0,0,0
D2,19/08/17,Fortuna Dusseldorf,Kaiserslautern,2,0,H,1,0,H,20,10,8,1,10,18,10,4,3,3,0,0
D2,19/08/17,Heidenheim,Duisburg,1,2,A,0,0,D,16,18,7,6,11,16,2,6,2,3,0,0
D2,20/08/17,Holstein Kiel,Greuther Furth,3,1,H,2,1,H,18,13,8,5,15,14,4,3,3,2,0,0
D2,20/08/17,Ingolstadt,Regensburg,2,4,A,0,1,A,19,19,8,11,16,20,6,5,3,2,0,0
D2,20/08/17,Nurnberg,Union Berlin,2,2,D,0,0,D,18,11,6,4,17,19,6,5,1,1,0,1
D2,21/08/17,Bielefeld,Bochum,2,0,H,2,0,H,12,23,6,5,19,4,2,8,2,1,0,0
D2,25/08/17,Duisburg,Darmstadt,1,2,A,1,1,D,12,9,4,6,17,13,4,2,2,1,0,0
D2,25/08/17,Greuther Furth,Ingolstadt,0,1,A,0,0,D,13,7,2,2,12,12,4,6,3,1,1,0
D2,26/08/17,Erzgebirge Aue,Nurnberg,3,1,H,0,0,D,17,11,10,6,12,15,7,4,3,2,0,0
D2,26/08/17,Regensburg,Holstein Kiel,1,2,A,1,2,A,14,18,2,7,18,22,2,5,4,3,0,0
D2,26/08/17,St Pauli,Heidenheim,1,0,H,0,0,D,13,10,4,1,10,14,11,3,0,3,0,0
D2,27/08/17,Bochum,Dresden,3,2,H,2,1,H,10,15,5,5,14,15,3,8,3,4,0,0
D2,27/08/17,Sandhausen,Fortuna Dusseldorf,1,2,A,1,0,H,12,10,3,5,23,24,2,2,3,4,0,0
D2,27/08/17,Union Berlin,Bielefeld,1,1,D,0,0,D,22,13,8,2,12,18,6,4,1,3,0,0
D2,28/08/17,Kaiserslautern,Braunschweig,1,1,D,0,1,A,15,12,4,4,20,23,6,7,3,4,0,0
D2,08/09/17,Dresden,Greuther Furth,1,1,D,1,0,H,14,14,4,6,12,17,4,2,1,3,0,0
D2,08/09/17,Heidenheim,Regensburg,1,3,A,0,0,D,11,20,5,5,13,15,1,8,2,1,0,0
D2,09/09/17,Bielefeld,Duisburg,0,4,A,0,1,A,13,14,3,9,10,10,2,2,1,3,0,0
D2,09/09/17,Holstein Kiel,Kaiserslautern,2,1,H,1,0,H,10,13,5,3,14,12,7,2,3,2,0,0
D2,09/09/17,Ingolstadt,Erzgebirge Aue,1,2,A,0,1,A,31,7,3,4,14,22,15,2,2,3,0,0
D2,10/09/17,Braunschweig,Sandhausen,1,1,D,0,0,D,18,7,6,4,17,22,7,7,2,1,0,0
D2,10/09/17,Darmstadt,Bochum,1,2,A,1,0,H,14,9,5,4,16,15,3,6,1,1,0,0
D2,10/09/17,Fortuna Dusseldorf,Union Berlin,3,2,H,1,0,H,17,6,6,4,16,22,7,7,2,3,0,0
D2,11/09/17,Nurnberg,St Pauli,0,1,A,0,0,D,13,8,3,2,10,6,6,3,2,2,0,0
D2,15/09/17,Erzgebirge Aue,Holstein Kiel,0,3,A,0,2,A,13,12,3,6,10,24,4,4,3,2,0,0
D2,15/09/17,Union Berlin,Braunschweig,1,1,D,0,0,D,22,15,6,4,11,9,5,3,2,2,0,0
D2,16/09/17,Duisburg,Nurnberg,1,6,A,0,2,A,21,15,10,9,11,10,9,5,3,0,0,0
D2,16/09/17,Sandhausen,Kaiserslautern,1,0,H,0,0,D,14,9,5,2,17,20,2,5,2,2,0,0
D2,16/09/17,St Pauli,Ingolstadt,0,4,A,0,4,A,6,19,3,7,12,21,5,4,0,5,0,0
D2,17/09/17,Bochum,Heidenheim,1,2,A,1,1,D,17,16,4,4,11,17,5,8,2,2,0,0
D2,17/09/17,Darmstadt,Bielefeld,4,3,H,1,2,A,12,16,4,4,13,10,4,4,1,2,0,0
D2,17/09/17,Greuther Furth,Fortuna Dusseldorf,3,1,H,2,0,H,24,7,9,3,16,18,10,3,3,2,0,0
D2,17/09/17,Regensburg,Dresden,0,2,A,0,0,D,9,12,1,5,16,19,9,1,2,2,0,0
D2,19/09/17,Holstein Kiel,St Pauli,0,1,A,0,1,A,14,7,4,4,12,10,6,1,4,4,1,0
D2,19/09/17,Ingolstadt,Duisburg,2,2,D,1,1,D,18,11,6,5,11,10,10,3,1,1,0,0
D2,19/09/17,Kaiserslautern,Erzgebirge Aue,0,2,A,0,1,A,15,16,3,7,14,14,4,2,1,2,0,0
D2,19/09/17,Sandhausen,Union Berlin,1,0,H,0,0,D,8,8,3,2,11,16,4,5,1,2,0,0
D2,20/09/17,Braunschweig,Greuther Furth,3,0,H,2,0,H,10,18,6,7,17,15,5,1,1,1,0,0
D2,20/09/17,Dresden,Bielefeld,0,2,A,0,0,D,12,12,7,3,7,19,4,3,0,1,0,0
D2,20/09/17,Fortuna Dusseldorf,Regensburg,1,0,H,0,0,D,13,16,5,4,19,17,3,4,3,2,0,0
D2,20/09/17,Heidenheim,Darmstadt,2,2,D,1,1,D,12,11,4,4,17,17,3,6,2,5,0,0
D2,21/09/17,Nurnberg,Bochum,3,1,H,1,1,D,13,10,5,5,13,11,4,4,0,2,0,0
D2,22/09/17,Duisburg,Holstein Kiel,1,3,A,0,1,A,18,17,8,5,15,21,6,5,3,3,0,0
D2,22/09/17,Erzgebirge Aue,Sandhausen,1,0,H,1,0,H,8,13,2,5,12,19,3,2,1,2,0,0
D2,23/09/17,Bielefeld,Heidenheim,1,1,D,0,0,D,20,9,3,2,15,14,8,4,1,1,0,0
D2,23/09/17,Regensburg,Braunschweig,2,1,H,0,1,A,30,8,6,4,18,16,11,4,4,4,0,3
D2,23/09/17,St Pauli,Fortuna Dusseldorf,1,2,A,1,2,A,15,9,6,3,16,12,6,3,1,0,0,0
D2,24/09/17,Bochum,Ingolstadt,2,0,H,2,0,H,16,15,6,3,17,25,5,4,2,4,0,0
D2,24/09/17,Darmstadt,Dresden,3,3,D,1,2,A,18,6,6,4,17,17,10,6,3,4,0,0
D2,24/09/17,Greuther Furth,Nurnberg,1,3,A,0,1,A,20,14,7,7,14,15,10,4,2,2,0,0
D2,25/09/17,Union Berlin,Kaiserslautern,5,0,H,4,0,H,22,10,11,2,15,22,5,6,2,4,0,0
D2,29/09/17,Ingolstadt,Darmstadt,3,0,H,1,0,H,21,5,5,2,18,15,7,5,2,3,0,0
D2,29/09/17,Kaiserslautern,Greuther Furth,3,0,H,0,0,D,13,6,4,2,12,20,1,5,0,3,0,0
D2,30/09/17,Erzgebirge Aue,Union Berlin,1,2,A,0,0,D,15,7,4,2,6,17,6,4,0,1,0,0
D2,30/09/17,Holstein Kiel,Bochum,3,0,H,2,0,H,25,4,8,0,16,11,9,1,0,4,0,1
D2,30/09/17,Nurnberg,Bielefeld,1,2,A,0,0,D,17,12,4,5,6,9,6,2,1,1,0,0
D2,01/10/17,Braunschweig,St Pauli,0,2,A,0,0,D,24,18,9,6,10,10,11,2,0,0,0,0
D2,01/10/17,Heidenheim,Dresden,0,2,A,0,1,A,12,11,2,3,16,27,5,5,4,2,0,0
D2,01/10/17,Sandhausen,Regensburg,2,0,H,0,0,D,9,19,2,2,19,18,1,4,4,4,0,1
D2,02/10/17,Fortuna Dusseldorf,Duisburg,3,1,H,2,0,H,15,27,7,7,17,13,2,9,4,2,0,0
D2,13/10/17,Duisburg,Braunschweig,0,0,D,0,0,D,11,11,4,3,9,14,3,3,2,1,0,0
D2,13/10/17,St Pauli,Kaiserslautern,1,1,D,0,0,D,5,7,2,1,9,24,4,3,0,1,0,0
D2,14/10/17,Bielefeld,Fortuna Dusseldorf,0,2,A,0,1,A,14,19,3,11,17,9,5,4,1,0,0,0
D2,14/10/17,Bochum,Sandhausen,2,0,H,1,0,H,8,7,3,1,11,15,4,6,2,3,0,0
D2,14/10/17,Dresden,Ingolstadt,2,2,D,1,2,A,12,14,4,3,17,16,6,4,1,4,0,0
D2,15/10/17,Greuther Furth,Erzgebirge Aue,2,1,H,1,0,H,17,8,4,5,23,15,3,2,3,4,0,0
D2,15/10/17,Heidenheim,Holstein Kiel,3,5,A,1,2,A,10,28,4,14,13,9,4,10,3,3,1,0
D2,15/10/17,Regensburg,Union Berlin,0,2,A,0,1,A,19,14,5,6,15,12,12,3,3,2,0,0
D2,16/10/17,Darmstadt,Nurnberg,3,4,A,1,1,D,14,14,3,5,11,15,4,3,1,1,0,0
D2,20/10/17,Fortuna Dusseldorf,Darmstadt,1,0,H,1,0,H,15,11,4,1,10,17,7,3,3,4,0,0
D2,20/10/17,Ingolstadt,Heidenheim,3,0,H,1,0,H,15,3,8,1,14,19,7,2,0,1,0,0
D2,21/10/17,Braunschweig,Bochum,1,0,H,1,0,H,7,16,2,5,16,15,2,7,0,3,0,0
D2,21/10/17,Holstein Kiel,Bielefeld,2,1,H,0,0,D,10,11,4,3,13,15,4,6,4,3,0,0
D2,21/10/17,Union Berlin,Greuther Furth,3,1,H,2,0,H,17,12,11,1,13,15,4,4,0,1,0,0
D2,22/10/17,Erzgebirge Aue,Regensburg,1,0,H,0,0,D,5,15,4,5,14,20,3,9,3,3,1,0
D2,22/10/17,Kaiserslautern,Duisburg,0,1,A,0,0,D,11,11,3,5,16,17,5,6,3,4,0,0
D2,22/10/17,Nurnberg,Dresden,2,1,H,1,0,H,11,22,5,2,11,10,4,9,2,3,0,1
D2,23/10/17,Sandhausen,St Pauli,1,1,D,0,0,D,18,15,3,3,15,11,5,4,1,2,0,0
D2,27/10/17,Bielefeld,Ingolstadt,1,3,A,1,2,A,16,12,2,8,12,6,10,5,3,4,1,1
D2,27/10/17,St Pauli,Erzgebirge Aue,1,1,D,1,0,H,12,12,6,4,12,17,7,7,1,3,0,0
D2,28/10/17,Darmstadt,Holstein Kiel,1,1,D,1,1,D,11,15,5,7,15,13,4,4,1,3,0,0
D2,28/10/17,Greuther Furth,Sandhausen,2,1,H,1,0,H,13,12,5,3,16,16,4,2,2,2,0,0
D2,28/10/17,Regensburg,Kaiserslautern,3,1,H,2,1,H,23,5,8,3,17,15,7,2,2,0,0,0
D2,29/10/17,Dresden,Braunschweig,1,1,D,1,0,H,12,12,4,7,9,14,1,3,1,4,0,0
D2,29/10/17,Duisburg,Union Berlin,1,1,D,0,0,D,10,11,3,3,10,20,2,2,2,2,0,0
D2,29/10/17,Heidenheim,Nurnberg,1,0,H,0,0,D,15,14,5,5,12,13,7,4,4,2,0,0
D2,30/10/17,Bochum,Fortuna Dusseldorf,0,0,D,0,0,D,9,15,5,3,22,11,3,6,2,2,1,0
D2,03/11/17,Kaiserslautern,Bochum,0,0,D,0,0,D,12,3,2,1,11,16,7,1,3,3,0,0
D2,03/11/17,Sandhausen,Duisburg,0,1,A,0,1,A,22,5,7,1,15,16,5,2,2,2,0,0
D2,04/11/17,Braunschweig,Darmstadt,2,2,D,1,1,D,16,7,5,3,13,13,8,3,2,2,0,0
D2,04/11/17,Regensburg,Greuther Furth,3,2,H,2,1,H,20,7,5,3,10,17,8,6,1,1,0,0
D2,04/11/17,Union Berlin,St Pauli,1,0,H,0,0,D,16,11,3,2,14,13,4,5,1,1,0,0
D2,05/11/17,Erzgebirge Aue,Bielefeld,1,1,D,1,0,H,10,19,6,7,10,15,2,10,2,4,0,0
