Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,ASAS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H
D1,2011-01-10,Hoffenheim,Bayern Munich,0,0,D,0,0,D,17,5,5,2,19,26,6,2,1,4,0,0,6.5
D1,2011-01-10,Leverkusen,Wolfsburg,3,1,H,1,0,H,20,7,9,1,17,20,6,4,1,2,0,0,1.67
D1,2011-01-10,Dortmund,Augsburg,4,0,H,2,0,H,19,8,9,3,12,14,3,3,2,2,0,0,1.25
D1,2011-01-10,Nurnberg,Mainz,3,3,D,2,2,D,9,16,5,7,14,19,2,4,2,0,0,0,2.1
D1,2011-01-10,Hertha,FC Koln,3,0,H,3,0,H,10,4,3,2,15,19,3,5,2,2,0,0,1.91
D1,2011-01-10,Freiburg,M'gladbach,1,0,H,1,0,H,8,19,3,6,23,17,5,7,2,2,0,0,3.1
D1,2011-02-10,Hannover,Werder Bremen,3,2,H,2,1,H,13,17,5,3,22,12,3,1,5,3,0,1,2.75
D1,2011-02-10,Hamburg,Schalke 04,1,2,A,1,1,D,17,9,6,4,18,16,5,5,3,1,0,0,2.75
D1,2011-02-12,Leverkusen,Hoffenheim,2,0,H,1,0,H,12,6,5,1,12,28,4,7,2,2,0,0,1.73
D1,2011-03-12,Wolfsburg,Mainz,2,2,D,2,0,H,6,11,4,2,15,18,6,3,2,1,1,0,2.38
D1,2011-03-12,Stuttgart,FC Koln,2,2,D,2,1,H,18,10,8,4,12,20,8,2,3,4,0,0,1.44
D1,2011-03-12,M'gladbach,Dortmund,1,1,D,0,1,A,13,11,3,4,9,18,3,10,0,2,0,0,3.4
D1,2011-03-12,Kaiserslautern,Hertha,1,1,D,1,1,D,21,6,4,3,18,16,5,0,3,1,0,0,2.4
D1,2011-03-12,Freiburg,Hannover,1,1,D,0,1,A,15,12,5,4,12,20,5,4,1,2,0,0,2.38
D1,2011-03-12,Bayern Munich,Werder Bremen,4,1,H,1,0,H,14,7,4,4,23,21,8,4,1,2,0,1,1.3
D1,2011-04-11,Mainz,Stuttgart,3,1,H,0,0,D,15,18,9,7,18,16,4,6,2,3,1,1,2.5
D1,2011-04-12,Schalke 04,Augsburg,3,1,H,1,0,H,19,11,11,2,11,13,8,2,1,2,0,0,1.36
D1,2011-04-12,Hamburg,Nurnberg,2,0,H,1,0,H,7,16,3,3,17,17,0,3,3,1,0,0,1.91
D1,2011-05-08,Dortmund,Hamburg,3,1,H,2,0,H,16,8,5,3,12,18,7,7,1,3,0,0,1.57
D1,2011-05-11,Hertha,M'gladbach,1,2,A,1,1,D,11,12,3,5,18,14,5,4,0,2,0,0,2.25
D1,2011-05-11,Hoffenheim,Kaiserslautern,1,1,D,1,0,H,11,19,3,3,23,21,4,3,5,1,0,0,1.67
D1,2011-05-11,Leverkusen,Hamburg,2,2,D,2,1,H,15,14,5,3,18,17,5,4,2,1,0,0,1.62
D1,2011-05-11,Nurnberg,Freiburg,1,2,A,1,1,D,12,10,4,3,14,20,5,2,4,1,0,0,1.73
D1,2011-05-11,Werder Bremen,FC Koln,3,2,H,0,2,A,29,5,7,4,13,14,10,4,3,3,0,1,1.44
D1,2011-05-11,Dortmund,Wolfsburg,5,1,H,2,0,H,21,6,11,3,12,18,8,6,1,4,0,0,1.33
D1,2011-06-08,Augsburg,Freiburg,2,2,D,0,0,D,11,9,7,4,17,25,5,4,2,4,0,0,2.25
D1,2011-06-08,Hannover,Hoffenheim,2,1,H,2,1,H,7,12,4,5,14,20,4,5,2,2,0,0,2.1
D1,2011-06-08,Hertha,Nurnberg,0,1,A,0,0,D,4,13,0,7,25,27,2,3,2,3,0,0,2.1
D1,2011-06-08,Stuttgart,Schalke 04,3,0,H,1,0,H,12,15,6,9,13,19,2,6,1,1,0,0,2.2
D1,2011-06-08,Werder Bremen,Kaiserslautern,2,0,H,0,0,D,19,9,5,3,14,27,6,5,1,2,0,0,1.8
D1,2011-06-08,FC Koln,Wolfsburg,0,3,A,0,1,A,7,17,1,8,15,22,7,5,0,5,1,0,2.5
D1,2011-06-11,Hannover,Schalke 04,2,2,D,1,1,D,16,13,2,7,14,17,2,5,2,4,0,0,2.7
D1,2011-06-11,Augsburg,Bayern Munich,1,2,A,0,2,A,10,14,2,5,17,15,1,3,1,2,0,1,15.0
D1,2011-07-08,Bayern Munich,M'gladbach,0,1,A,0,0,D,19,7,7,3,11,11,12,2,0,1,0,0,1.2
D1,2011-07-08,Mainz,Leverkusen,2,0,H,1,0,H,22,9,8,2,20,19,7,3,3,1,0,0,3.8
D1,2011-08-13,Nurnberg,Hannover,1,2,A,0,2,A,13,4,5,3,16,19,8,6,2,3,0,0,2.3
D1,2011-08-13,M'gladbach,Stuttgart,1,1,D,0,0,D,10,15,3,7,9,9,2,5,2,2,1,0,2.5
D1,2011-08-13,Hoffenheim,Dortmund,1,0,H,1,0,H,13,15,3,4,13,11,5,6,4,1,0,0,4.5
D1,2011-08-13,Hamburg,Hertha,2,2,D,1,1,D,9,24,4,6,13,10,5,6,3,3,0,0,1.95
D1,2011-08-13,Freiburg,Mainz,1,2,A,0,0,D,18,9,7,4,11,18,4,6,0,2,0,0,2.3
D1,2011-08-13,Wolfsburg,Bayern Munich,0,1,A,0,0,D,7,11,1,3,14,15,9,8,0,3,0,0,4.0
D1,2011-08-13,Schalke 04,FC Koln,5,1,H,1,1,D,18,6,5,2,17,16,7,2,0,3,0,0,1.62
D1,2011-08-14,Kaiserslautern,Augsburg,1,1,D,0,1,A,17,13,7,4,21,11,8,1,4,1,0,0,1.83
D1,2011-08-14,Leverkusen,Werder Bremen,1,0,H,0,0,D,16,9,6,1,18,18,7,1,1,2,0,0,1.83
D1,2011-08-19,M'gladbach,Wolfsburg,4,1,H,3,1,H,21,7,9,3,13,18,8,6,1,2,0,0,2.7
D1,2011-08-20,Werder Bremen,Freiburg,5,3,H,2,1,H,26,11,8,7,17,29,12,1,1,4,0,0,1.55
D1,2011-08-20,Augsburg,Hoffenheim,0,2,A,0,1,A,12,17,4,5,18,18,4,2,1,1,0,0,2.8
D1,2011-08-20,Stuttgart,Leverkusen,0,1,A,0,1,A,11,11,0,3,18,16,5,4,1,0,1,0,2.3
D1,2011-08-20,FC Koln,Kaiserslautern,1,1,D,1,1,D,10,8,5,3,16,22,7,5,3,4,0,0,2.3
D1,2011-08-20,Bayern Munich,Hamburg,5,0,H,3,0,H,24,4,13,1,12,16,5,3,2,4,0,0,1.33
D1,2011-08-20,Dortmund,Nurnberg,2,0,H,0,0,D,12,10,5,3,13,13,5,5,0,2,0,0,1.29
D1,2011-08-21,Mainz,Schalke 04,2,4,A,2,0,H,15,12,5,6,15,15,6,5,0,2,0,0,2.5
D1,2011-08-21,Hannover,Hertha,1,1,D,1,0,H,14,10,6,4,20,20,3,6,1,6,0,0,2.2
D1,2011-08-26,Hertha,Stuttgart,1,0,H,0,0,D,16,22,5,5,10,13,4,3,0,1,0,0,2.5
D1,2011-08-27,Hamburg,FC Koln,3,4,A,1,1,D,15,7,6,5,18,21,5,4,1,3,0,0,1.85
