Jahr,Monat,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen
2011,1,1.15,1.14,0.52,-0.53,1.21,0.99,2.03,2.03
2012,1,1.7,1.69,1.72,0.63,2.07,1.89,2.88,2.88
2013,1,-0.14,-0.15,0.4,-0.44,0.19,0.4,0.79,0.8
2014,1,0.49,0.49,2.83,1.65,3.03,0.25,2.47,2.46
2015,1,2.8,2.79,1.69,1.08,1.85,2.75,3.03,3.04
2016,1,-0.4,-0.41,1.83,0.41,1.64,-0.6,1.39,1.39
2017,1,-1.44,-1.45,-3.62,-4.89,-2.46,-0.32,-0.15,-0.14
2018,1,3.31,3.31,4.33,3.14,4.1,2.87,3.9,3.9
2019,1,1.18,1.17,-0.32,-0.95,0.5,1.51,1.99,2.0
2020,1,4.1,4.09,2.51,1.36,3.22,4.66,4.99,5.0
2021,1,0.74,0.72,0.21,-0.74,0.75,1.11,1.65,1.66
2022,1,3.39,3.38,1.34,1.07,2.66,3.68,4.47,4.48
2011,2,-0.39,-0.4,1.82,0.01,1.38,-0.1,1.77,1.76
2012,2,-2.28,-2.3,-3.72,-4.52,-2.35,-1.31,-0.62,-0.61
2013,2,-0.11,-0.12,-1.57,-1.92,-0.74,-0.06,0.3,0.3
2014,2,4.64,4.62,3.79,2.98,4.31,4.43,5.4,5.4
2015,2,1.42,1.41,-0.66,-1.25,0.81,1.51,2.15,2.16
2016,2,3.66,3.65,3.41,3.05,3.13,3.28,3.51,3.51
2017,2,1.96,1.95,3.41,2.4,3.39,1.72,3.18,3.18
2018,2,-1.64,-1.66,-2.09,-2.96,-1.99,-1.47,-1.02,-1.02
2019,2,4.25,4.24,3.37,1.96,3.88,4.48,5.18,5.18
2020,2,5.81,5.81,5.17,4.26,5.03,5.48,5.98,5.98
2021,2,0.5,0.48,2.96,1.44,1.46,0.9,1.92,1.92
2022,2,4.85,4.85,4.03,3.28,4.31,4.62,5.4,5.4
2011,3,4.48,4.46,5.62,4.76,5.52,3.61,4.68,4.68
2012,3,7.01,6.99,6.93,6.13,7.3,6.24,7.39,7.39
2013,3,-1.15,-1.16,1.51,0.66,0.33,-0.99,-0.19,-0.19
2014,3,7.13,7.11,6.74,6.31,7.11,6.54,7.22,7.22
2015,3,5.6,5.59,5.17,4.59,4.97,5.25,5.61,5.61
2016,3,4.44,4.43,3.74,3.46,3.87,4.19,4.54,4.55
2017,3,7.02,7.01,7.39,6.72,7.47,6.23,7.47,7.46
2018,3,1.4,1.39,3.19,2.24,2.83,0.76,2.62,2.61
2019,3,6.84,6.83,6.39,5.89,6.58,6.38,7.07,7.07
2020,3,5.17,5.15,5.17,4.61,5.59,4.9,5.81,5.81
2021,3,4.94,4.92,4.51,3.79,4.91,4.66,5.41,5.41
